Tanggal;Hujan
2017-06-06;0.09
2017-06-07;0.34
2017-06-08;0.27
2017-06-09;0.03
2017-06-10;0
2017-06-11;6.61
2017-06-12;14.18
2017-06-13;3.53
2017-06-14;2.22
2017-06-15;1.16
2017-06-16;0.03
2017-06-17;0
2017-06-18;0
2017-06-19;0
2017-06-20;0.71
2017-06-21;11.06
2017-06-22;5.88
2017-06-23;0.28
2017-06-24;0.62
2017-06-25;2.14
2017-06-26;2.37
2017-06-27;24.71
2017-06-28;1.5
2017-06-29;0
2017-06-30;0
2017-07-01;0.15
2017-07-02;1.05
2017-07-03;0.57
2017-07-04;0
2017-07-05;0
2017-07-06;0.02
2017-07-07;0.12
2017-07-08;0.39
2017-07-09;0.43
2017-07-10;0.21
2017-07-11;0.02
2017-07-12;0.1
2017-07-13;0.08
2017-07-14;0.07
2017-07-15;0.02
2017-07-16;0
2017-07-17;0
2017-07-18;8.27
2017-07-19;3.57
2017-07-20;1.23
2017-07-21;1.88
2017-07-22;0.14
2017-07-23;0
2017-07-24;0
2017-07-25;0
2017-07-26;2.89
2017-07-27;11.36
2017-07-28;0.69
2017-07-29;0
2017-07-30;0
2017-07-31;0
2017-08-01;0.04
2017-08-02;0.22
2017-08-03;0.11
2017-08-04;0.03
2017-08-05;0.01
2017-08-06;0.03
2017-08-07;0
2017-08-08;0
2017-08-09;0
2017-08-10;0.08
2017-08-11;0.01
2017-08-12;0
2017-08-13;0
2017-08-14;0
2017-08-15;0
2017-08-16;0
2017-08-17;0
2017-08-18;0
2017-08-19;0
2017-08-20;0
2017-08-21;0
2017-08-22;0
2017-08-23;0
2017-08-24;0
2017-08-25;0
2017-08-26;0
2017-08-27;0
2017-08-28;0
2017-08-29;0.04
2017-08-30;0.02
2017-08-31;0.02
2017-09-01;0
2017-09-02;0
2017-09-03;0
2017-09-04;0
2017-09-05;0
2017-09-06;0
2017-09-07;0.01
2017-09-08;0.01
2017-09-09;0
2017-09-10;0.08
2017-09-11;0.01
2017-09-12;0
2017-09-13;0
2017-09-14;0
2017-09-15;0
2017-09-16;0
2017-09-17;0.62
2017-09-18;0.26
2017-09-19;0
2017-09-20;0
2017-09-21;0
2017-09-22;0.17
2017-09-23;0.04
2017-09-24;0.76
2017-09-25;2.35
2017-09-26;1.78
2017-09-27;0.74
2017-09-28;0.02
2017-09-29;1.57
2017-09-30;2.37
2017-10-01;3.51
2017-10-02;2.91
2017-10-03;1.39
2017-10-04;0.4
2017-10-05;0
2017-10-06;0.19
2017-10-07;0.11
2017-10-08;0.63
2017-10-09;0.38
2017-10-10;0.17
2017-10-11;0.16
2017-10-12;0.03
2017-10-13;0.45
2017-10-14;0.04
2017-10-15;0.5
2017-10-16;3.52
2017-10-17;0.69
2017-10-18;0.01
2017-10-19;0.17
2017-10-20;0.01
2017-10-21;0
2017-10-22;0
2017-10-23;20.83
2017-10-24;17.34
2017-10-25;0.15
2017-10-26;0
2017-10-27;21.22
2017-10-28;2.2
2017-10-29;0.21
2017-10-30;0.04
2017-10-31;0
2017-11-01;0
2017-11-02;0
2017-11-03;0.3
2017-11-04;5.87
2017-11-05;7.25
2017-11-06;0.97
2017-11-07;0.18
2017-11-08;0.01
2017-11-09;0.25
2017-11-10;0.85
2017-11-11;0.56
2017-11-12;1.07
2017-11-13;14.37
2017-11-14;4.18
2017-11-15;4.56
2017-11-16;5.08
2017-11-17;46.81
2017-11-18;13.24
2017-11-19;3.5
2017-11-20;4.49
2017-11-21;1.65
2017-11-22;3.17
2017-11-23;3.68
2017-11-24;42
2017-11-25;36.55
2017-11-26;11.26
2017-11-27;21.1
2017-11-28;13.58
2017-11-29;23.47
2017-11-30;9.87
2017-12-01;7.54
2017-12-02;5.05
2017-12-03;3.37
2017-12-04;11.54
2017-12-05;1.58
2017-12-06;8.87
2017-12-07;3.26
2017-12-08;12.5
2017-12-09;7.5
2017-12-10;8.94
2017-12-11;34.89
2017-12-12;22.03
2017-12-13;5.8
2017-12-14;8.78
2017-12-15;1.48
2017-12-16;5.29
2017-12-17;22.35
2017-12-18;65.65
2017-12-19;16.44
2017-12-20;31.41
2017-12-21;19.57
2017-12-22;4.21
2017-12-23;0.15
2017-12-24;0
2017-12-25;5.35
2017-12-26;8.17
2017-12-27;3.09
2017-12-28;0.7
2017-12-29;0.18
2017-12-30;4.41
2017-12-31;2.07
2018-01-01;9.41
2018-01-02;7.74
2018-01-03;14.1
2018-01-04;12.79
2018-01-05;1.49
2018-01-06;5.81
2018-01-07;8.82
2018-01-08;3.7
2018-01-09;4.05
2018-01-10;16.09
2018-01-11;18.01
2018-01-12;1.7
2018-01-13;2.74
2018-01-14;4.22
2018-01-15;1.61
2018-01-16;0.25
2018-01-17;1.03
2018-01-18;31.02
2018-01-19;47.44
2018-01-20;13.03
2018-01-21;8.5
2018-01-22;5.49
2018-01-23;10.01
2018-01-24;9.13
2018-01-25;8.06
2018-01-26;0.99
2018-01-27;3.26
2018-01-28;2.56
2018-01-29;2.22
2018-01-30;5.96
2018-01-31;8.65
2018-02-01;16.05
2018-02-02;22.07
2018-02-03;15.72
2018-02-04;7.78
2018-02-05;5.85
2018-02-06;2.11
2018-02-07;0.94
2018-02-08;26.3
2018-02-09;22.4
2018-02-10;21.35
2018-02-11;8.85
2018-02-12;0.65
2018-02-13;2.57
2018-02-14;0.71
2018-02-15;46.43
2018-02-16;38.39
2018-02-17;5.34
2018-02-18;2.67
2018-02-19;5.76
2018-02-20;16.43
2018-02-21;28.85
2018-02-22;82.63
2018-02-23;9.12
2018-02-24;4.5
2018-02-25;12.89
2018-02-26;16.02
2018-02-27;1.87
2018-02-28;2.29
2018-03-01;4.98
2018-03-02;2.49
2018-03-03;6.86
2018-03-04;7.82
2018-03-05;9.59
2018-03-06;4.88
2018-03-07;9.98
2018-03-08;32.52
2018-03-09;14.31
2018-03-10;15.72
2018-03-11;16.2
2018-03-12;2.98
2018-03-13;10.62
2018-03-14;2.28
2018-03-15;0.12
2018-03-16;18.83
2018-03-17;31.32
2018-03-18;26.76
2018-03-19;3.59
2018-03-20;4.95
2018-03-21;6.22
2018-03-22;2.82
2018-03-23;0.42
2018-03-24;6.13
2018-03-25;7.63
2018-03-26;1.62
2018-03-27;8.43
2018-03-28;7.52
2018-03-29;8.79
2018-03-30;20.01
2018-03-31;11.56
2018-04-01;24.19
2018-04-02;19.29
2018-04-03;3.04
2018-04-04;0.12
2018-04-05;0.39
2018-04-06;11.22
2018-04-07;13.06
2018-04-08;0.81
2018-04-09;0.31
2018-04-10;0
2018-04-11;1.65
2018-04-12;1.53
2018-04-13;0.11
2018-04-14;0
2018-04-15;0.02
2018-04-16;0.02
2018-04-17;2.66
2018-04-18;1.42
2018-04-19;7.79
2018-04-20;9.04
2018-04-21;1.82
2018-04-22;7.77
2018-04-23;14.4
2018-04-24;2.46
2018-04-25;7.75
2018-04-26;1.79
2018-04-27;0.01
2018-04-28;0.05
2018-04-29;0
2018-04-30;0.02
2018-05-01;0
2018-05-02;0
2018-05-03;0
2018-05-04;0
2018-05-05;0
2018-05-06;0.27
2018-05-07;0.34
2018-05-08;0.02
2018-05-09;0
2018-05-10;0
2018-05-11;0
2018-05-12;0
2018-05-13;0.01
2018-05-14;0.01
2018-05-15;0.47
2018-05-16;0.29
2018-05-17;0.06
2018-05-18;0.22
2018-05-19;0.02
2018-05-20;0.2
2018-05-21;1.78
2018-05-22;1.24
2018-05-23;1.8
2018-05-24;1.11
2018-05-25;0.16
2018-05-26;0
2018-05-27;0
2018-05-28;0
2018-05-29;0.13
2018-05-30;0.02
2018-05-31;0
2018-06-01;15.05
2018-06-02;7.48
2018-06-03;0.17
2018-06-04;5.17
2018-06-05;2.78
2018-06-06;0.01
2018-06-07;0.63
2018-06-08;1.23
2018-06-09;0.37
2018-06-10;0
2018-06-11;0.04
2018-06-12;0.02
2018-06-13;0
2018-06-14;0
2018-06-15;0
2018-06-16;0
2018-06-17;0
2018-06-18;0
2018-06-19;0.34
2018-06-20;20.09
2018-06-21;11.79
2018-06-22;0.08
2018-06-23;0.03
2018-06-24;3.8
2018-06-25;1.74
2018-06-26;1.04
2018-06-27;0.19
2018-06-28;0
2018-06-29;0
2018-06-30;0
2018-07-01;0
2018-07-02;0
2018-07-03;0.16
2018-07-04;0.15
2018-07-05;0.01
2018-07-06;0
2018-07-07;0
2018-07-08;0
2018-07-09;0
2018-07-10;0
2018-07-11;0
2018-07-12;0
2018-07-13;0
2018-07-14;0.23
2018-07-15;0.04
2018-07-16;0.06
2018-07-17;0.03
2018-07-18;0
2018-07-19;0
2018-07-20;0
2018-07-21;0
2018-07-22;0.23
2018-07-23;0.04
2018-07-24;0
2018-07-25;0
2018-07-26;0
2018-07-27;0
2018-07-28;0
2018-07-29;0
2018-07-30;0
2018-07-31;0
2018-08-01;0.05
2018-08-02;0.03
2018-08-03;0.01
2018-08-04;0.03
2018-08-05;0.05
2018-08-06;0.07
2018-08-07;0.08
2018-08-08;0.02
2018-08-09;0
2018-08-10;0.11
2018-08-11;0.2
2018-08-12;0.03
